generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
4600000,Abies_holophylla,Pinus_glabra,40.584,0.16654,0.00308158,0.231862,0
4700000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0369823,0.000984654,0.0343767,0
4700000,Hesperocyparis_abramsiana,Juniperus_angosturana,264.813,0.299974,-0.00557646,0.162539,0
4700000,Podocarpus_nakaii,Afrocarpus_dawei,245.318,0.109019,0.000600698,0.0447012,0
4700000,Dacrydium_guillauminii,Dacrydium_comosum,288.215,0.230315,-0.00750785,0.0407609,0
4700000,Araucaria_columnaris,Araucaria_bernieri,305.811,0.307498,0.00297692,0.0481241,0
4700000,Abies_holophylla,Pinus_glabra,37.1945,0.140204,0.00288353,0.197357,0
4800000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0178747,-7.04222e-05,0.000417528,0
4800000,Hesperocyparis_abramsiana,Juniperus_angosturana,257.911,0.161306,0.000730096,0.0998167,0
4800000,Hesperocyparis_abramsiana,Athrotaxis_selaginoides,167.203,0.0515503,-0.00424669,0.00442984,0
4800000,Podocarpus_nakaii,Podocarpus_chingianus,290.806,0.121611,0.00246667,0.0192397,0
4800000,Halocarpus_bidwillii,Halocarpus_kirkii,295.366,0.181884,0.00255191,0.0941482,0
4800000,Dacrydium_xanthandrum,Dacrydium_magnum,304.146,0.0778472,0.00236633,0.135498,0
4800000,Podocarpus_nakaii,Dacrydium_guillauminii,207.247,0.0525392,0.00489428,0.00513823,0
4800000,Araucaria_columnaris,Araucaria_cunninghamii,286.202,0.183653,-0.00127943,0.114369,0
4800000,Agathis_montana,Agathis_australis,273.77,0.10279,0.00349881,0.0509879,0
4800000,Abies_holophylla,Pinus_glabra,47.0104,0.18944,0.00146618,0.22106,0
4900000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0390388,-0.00409386,0.00213606,0
4900000,Cupressus_austrotibetica,Cupressus_funebris,290.279,0.122747,-0.00224887,0.0943617,0
4900000,Hesperocyparis_abramsiana,Juniperus_angosturana,263.743,0.13909,0.00218718,0.0569853,0
4900000,Hesperocyparis_abramsiana,Taxus_canadensis,75.216,0.0373995,0.000346696,0.0310067,0
4900000,Sciadopitys_verticillata,NA,257.754,0.0170603,0.000457563,0.101211,0
4900000,Podocarpus_nakaii,Dacrydium_guillauminii,213.028,0.0901387,0.00338404,0.06731,0
4900000,Araucaria_columnaris,Araucaria_muelleri,305.154,0.323588,-0.00393493,0.0020143,0
4900000,Agathis_montana,Agathis_robusta,293.747,0.128776,-0.00455613,0.0191901,0
4900000,Abies_holophylla,Pinus_glabra,83.3805,0.202607,0.000990122,0.22763,0
5000000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0221411,-0.000950616,7.91062e-05,0
5000000,Hesperocyparis_abramsiana,Juniperus_angosturana,267.229,0.151405,-0.00116096,0.0601167,0
5000000,Libocedrus_yateensis,Libocedrus_plumosa,306.845,0.267606,-0.00731032,0.0444299,0
5000000,Austrocedrus_chilensis,NA,310.329,0.0440178,0.00187205,0.0811446,0
5000000,Hesperocyparis_abramsiana,Taxus_canadensis,105.096,0.0357225,1.08271e-05,0.0201573,0
5000000,Podocarpus_nakaii,Dacrydium_guillauminii,210.393,0.0882624,0.0015006,0.053223,0
5000000,Araucaria_columnaris,Araucaria_cunninghamii,284.877,0.118297,0.0033531,0.00636317,0
5000000,Agathis_montana,Agathis_robusta,298.982,0.121296,0.000816623,0.00453313,0
5000000,Abies_holophylla,Pinus_glabra,18.739,0.258053,0.000454914,0.271166,0
5100000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0099614,0.00391965,0.0245101,0
5100000,Hesperocyparis_abramsiana,Calocedrus_rupestris,241.571,0.275832,-0.000684197,0.240461,0
5100000,Podocarpus_nakaii,Dacrydium_guillauminii,220.347,0.0755779,0.00147348,0.0180142,0
5100000,Araucaria_columnaris,Araucaria_muelleri,304.833,0.26847,-0.000271577,0.121036,0
5100000,Agathis_montana,Agathis_robusta,292.805,0.118644,0.0033467,0.0145461,0
5100000,Hesperocyparis_abramsiana,Podocarpus_nakaii,31.438,0.0426486,-0.000996937,0.0271779,0
5100000,Abies_holophylla,Pinus_glabra,10.4944,0.247943,3.83546e-05,0.238138,0
5200000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.151075,0.00205742,0.19243,0
5200000,Hesperocyparis_abramsiana,Juniperus_angosturana,264.141,0.263605,-0.0021355,0.198329,0
5200000,Podocarpus_nakaii,Acmopyle_pancheri,190.416,0.0665949,0.00165391,0.0486651,0
5200000,Hesperocyparis_abramsiana,Podocarpus_nakaii,6.87525,0.105645,-0.00217223,0.0603652,0
5300000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.104688,-0.00063438,0.0853069,0
5300000,Hesperocyparis_abramsiana,Juniperus_angosturana,263.941,0.21932,0.00662519,0.194671,0
5300000,Abies_holophylla,Pinus_glabra,80.5071,0.21465,0.000731149,0.230354,0
5400000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0849438,-0.000640465,0.0611196,0
5400000,Hesperocyparis_abramsiana,Juniperus_angosturana,260.907,0.181801,0.00128584,0.135225,0
5400000,Podocarpus_nakaii,Afrocarpus_dawei,228.992,0.0568849,0.00680076,0.0174678,0
5400000,Abies_holophylla,Pinus_glabra,11.1635,0.15643,0.00135162,0.184036,0
5500000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.21255,0.000583067,0.231703,0
5500000,Hesperocyparis_abramsiana,Juniperus_angosturana,260.652,0.164511,0.00243393,0.112855,0
5500000,Podocarpus_nakaii,Dacrydium_guillauminii,220.456,0.0894606,-0.00109484,0.028998,0
5500000,Araucaria_columnaris,Araucaria_cunninghamii,211.683,0.104715,-0.00198926,0.119506,0
5500000,Hesperocyparis_abramsiana,Podocarpus_nakaii,4.27471,0.09241,-0.00141151,0.0610094,0
5600000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.237787,0.000128705,0.235992,0
5600000,Hesperocyparis_abramsiana,Juniperus_angosturana,259.067,0.147563,0.00346576,0.1138,0
5600000,Podocarpus_nakaii,Dacrydium_guillauminii,205.228,0.103371,-0.000489367,0.0522875,0
