generation,N_shifts,logPrior,logLik,eventRate,acceptRate
20900000,7,45.1736,-2101.62,3.63233,0.33854
21000000,3,22.3016,-2111.49,1.6111,0.28195
21100000,5,32.2082,-2112.64,3.26124,0.29261
21200000,3,20.0607,-2126.01,1.12684,0.28079
21300000,4,25.0882,-2109.22,3.12626,0.232383
21400000,3,20.1385,-2117.34,1.5517,0.212535
21500000,2,13.9732,-2119.14,0.529193,0.20221
21600000,3,19.6922,-2108.48,1.06309,0.213375
21700000,1,9.24155,-2134.28,0.661807,0.25197
21800000,7,44.5526,-2096.22,5.52559,0.299665
21900000,1,9.58622,-2135.62,0.770909,0.26875
22000000,1,11.0232,-2138.07,0.0860216,0.27494
22100000,6,39.1496,-2109.04,1.56599,0.30114
22200000,2,14.1098,-2118.62,0.889302,0.18737
22300000,2,12.4358,-2118.04,0.909751,0.246811
22400000,4,24.0864,-2110.15,3.044,0.236467
22500000,2,14.3892,-2118.18,0.949768,0.242319
22600000,4,22.966,-2109.27,3.90201,0.25026
22700000,3,19.2313,-2108.13,0.561779,0.25044
22800000,7,41.0437,-2081.88,4.42712,0.293563
22900000,8,55.3395,-2096.91,3.41314,0.31799
23000000,6,42.6214,-2099.03,2.89048,0.31287
23100000,1,6.83871,-2135.41,2.55776,0.252327
23200000,1,8.94673,-2134.7,1.27957,0.28495
23300000,3,20.6545,-2118.09,1.59669,0.212015
23400000,1,8.12006,-2132.43,1.29725,0.285035
23500000,3,20.8561,-2109.62,0.881876,0.21481
23600000,2,11.9704,-2116.96,0.371832,0.24153
23700000,3,17.6648,-2105.55,1.58203,0.3011
23800000,4,23.163,-2118.77,3.5913,0.24981
23900000,2,12.7713,-2116.05,0.299709,0.21462
24000000,2,9.88173,-2117.89,2.04824,0.1901
24100000,1,6.42532,-2132.82,1.45882,0.258034
24200000,3,18.0033,-2106.74,2.40235,0.24003
24300000,5,36.0181,-2113.6,3.02936,0.231755
24400000,1,9.236,-2134.7,0.394349,0.29028
24500000,5,29.3177,-2108.17,4.52863,0.31075
24600000,6,36.9116,-2102.79,2.72709,0.30308
24700000,1,9.26474,-2138.66,0.404508,0.301259
24800000,8,46.626,-2087.39,3.01496,0.3126
24900000,1,9.28013,-2138.75,0.137949,0.29028
25000000,4,22.33,-2099.6,1.42732,0.261164
25100000,3,21.8258,-2108.21,1.42514,0.25625
25200000,1,9.35048,-2133.89,0.660244,0.287372
25300000,5,24.3533,-2106.2,3.20443,0.259645
25400000,1,9.15867,-2135.55,0.0527781,0.28807
25500000,6,40.2261,-2102.84,1.44438,0.257835
25600000,7,39.9394,-2089.36,2.10225,0.31025
25700000,3,18.6459,-2115.6,2.74462,0.275388
25800000,3,19.6994,-2109.39,2.58072,0.22557
25900000,3,18.2883,-2115.12,3.14674,0.245092
26000000,4,21.7343,-2110.3,4.49291,0.2225
26100000,4,25.4393,-2108.2,3.38084,0.2559
26200000,3,15.668,-2108.81,3.61644,0.24503
26300000,3,18.8556,-2111.34,2.00924,0.24389
26400000,5,30.6954,-2105.68,3.8585,0.25396
26500000,3,15.6627,-2117.76,4.02686,0.274591
26600000,5,28.5505,-2110.39,2.30775,0.25387
26700000,6,38.9137,-2102.03,2.44624,0.258357
26800000,3,18.7178,-2109.54,1.23039,0.25885
26900000,4,26.0065,-2109.34,0.878178,0.24387
27000000,3,17.5326,-2108.01,1.21983,0.24741
27100000,3,20.0835,-2115.91,0.64645,0.257806
27200000,3,19.109,-2106.27,2.40259,0.25251
27300000,3,17.9794,-2102.5,1.58485,0.243214
27400000,4,28.2897,-2105.47,1.31302,0.24062
27500000,3,19.4655,-2111.78,2.66912,0.257356
27600000,3,20.9334,-2114.54,1.76865,0.209583
27700000,3,21.2837,-2119.36,1.12139,0.226711
27800000,4,24.7713,-2117.04,2.83246,0.254005
27900000,5,30.3971,-2102.3,3.17575,0.24167
28000000,3,17.5754,-2107.91,4.29339,0.26311
28100000,3,21.7275,-2116.75,1.40166,0.22153
28200000,2,12.0725,-2119.06,3.14725,0.19499
28300000,4,23.597,-2108.79,2.19822,0.25547
28400000,9,57.6016,-2106.79,3.35541,0.248777
28500000,3,20.9098,-2109.01,3.16188,0.251195
28600000,8,51.3541,-2104.74,2.66283,0.345495
28700000,3,17.3152,-2107.09,2.06214,0.25111
28800000,4,28.495,-2114.91,2.0697,0.222907
28900000,3,17.6964,-2106.55,1.48143,0.255535
29000000,3,19.7311,-2109.08,1.87024,0.22357
29100000,3,16.9774,-2110.17,4.49837,0.23702
29200000,3,20.9386,-2117.17,1.28136,0.254987
29300000,4,27.89,-2109.63,1.73462,0.250863
29400000,3,19.0604,-2109.31,3.75811,0.262386
29500000,3,18.9558,-2112.07,3.10638,0.25623
29600000,9,54.5404,-2106.29,6.57175,0.293967
29700000,3,16.6069,-2108.17,3.87387,0.25136
29800000,6,42.5213,-2101.15,2.39363,0.332845
29900000,4,23.2248,-2100.55,1.97034,0.250755
30000000,5,25.8194,-2101.89,4.60073,0.248774
30100000,3,18.9462,-2111.37,1.12626,0.247645
30200000,3,21.1413,-2121.34,1.75437,0.283948
30300000,2,14.8506,-2118.56,0.0518726,0.24553
30400000,3,20.1313,-2109.33,1.69837,0.25053
30500000,3,17.4192,-2111.27,3.51422,0.257965
30600000,7,48.6921,-2117.59,3.20826,0.268342
30700000,3,20.9509,-2118.73,1.75412,0.201947
30800000,8,49.8168,-2098.06,2.71286,0.256338
30900000,5,31.1441,-2107.98,2.42469,0.248755
31000000,4,27.0129,-2105.57,1.82717,0.257602
31100000,3,21.7704,-2115.14,1.57334,0.26327
31200000,3,22.6094,-2116.06,1.01023,0.231598
31300000,3,21.0746,-2110.11,0.941031,0.26087
31400000,3,19.6048,-2107.38,2.34288,0.280969
31500000,4,26.7258,-2112.3,2.00229,0.26478
31600000,3,19.6146,-2107.97,1.40095,0.214583
31700000,3,18.6382,-2115.18,2.63131,0.21955
31800000,3,17.8724,-2106.7,3.46157,0.228188
31900000,3,21.8075,-2109.58,0.841084,0.244385
32000000,4,25.1118,-2109.68,2.07868,0.220605
32100000,3,19.2869,-2108.18,3.00016,0.22569
32200000,3,20.0113,-2110.62,1.65998,0.24961
32300000,3,17.4519,-2108.3,2.9116,0.253346
32400000,4,22.5534,-2105.88,3.58282,0.24405
32500000,2,12.9903,-2120.05,3.26883,0.181668
32600000,4,25.5315,-2108.68,2.16672,0.250673
32700000,3,19.2009,-2110.92,2.54327,0.192875
32800000,3,19.1456,-2109.37,2.31916,0.246438
32900000,5,29.5512,-2108.76,3.2177,0.256014
